"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.289","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.359","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.429","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.64","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.765","Haar0.773","Haar0.781","Haar0.789","Haar0.796","Haar0.804","Haar0.812","Haar0.82","Haar0.828","Haar0.835","Haar0.843","Haar0.851","Haar0.859","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.968","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"1",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593870356714347,0.999982365744487,0.0118771976850547,0.999929463599883,0.0178152729118884,0.999841295431968,0.023752719820573,0.9997178643503,0.0296893290061968,0.999559174708112,0.0356248910933931,0.99936523210215,0.0415591967437252,0.999136043372481,0.0474920366630686,0.998871616602251,0.0534232016089935,0.998571961117397,0.0593524823981433,0.998237087486324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000945179584120983,8.93364446239114e-07
"2",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118771976850547,0.999929463599883,0.023752719820573,0.9997178643503,0.0356248910933931,0.99936523210215,0.0474920366630686,0.998871616602251,0.0593524823981433,0.998237087486324,0.0712045551123253,0.997461734269168,0.0830465828005281,0.996545666332033,0.0948768948747455,0.995489012907187,0.106693822399725,0.99429192305969,0.118495698328412,0.992954565666356,0.98724386632755,0.0127276233208647,2.8510351585001e-05,0,0,0,0,0,0,0,0,0,0,0,0.00189035916824197,3.57345778495646e-06
"3",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178152729118884,0.999841295431968,0.0356248910933931,0.99936523210215,0.0534232016089935,0.998571961117397,0.0712045551123253,0.997461734269168,0.088963307639335,0.996034903953606,0.106693822399725,0.99429192305969,0.124390471566124,0.992233344825479,0.142047638060409,0.989859822662512,0.159659717336617,0.987172109948408,0.17722111915988,0.984171059787738,0.974569615218794,0.0253163433748664,0.000114041406340004,0,0,0,0,0,0,0,0,0,0,0,0.00283553875236295,8.04028001615203e-06
"4",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023752719820573,0.9997178643503,0.0474920366630686,0.998871616602251,0.0712045551123253,0.997461734269168,0.0948768948747455,0.995489012907187,0.118495698328412,0.992954565666356,0.142047638060409,0.989859822662512,0.165519424387101,0.98620653017031,0.188897812853119,0.981996749637853,0.212169611704824,0.977232856523472,0.235321689334039,0.971917538955324,0.96197724667373,0.0377661601620053,0.000256593164265009,0,0,0,0,0,0,0,0,0,0,0,0.00378071833648393,1.42938311398258e-05
"5",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296893290061968,0.999559174708112,0.0593524823981433,0.998237087486324,0.088963307639335,0.996034903953606,0.118495698328412,0.992954565666356,0.147923617215882,0.988998788406623,0.17722111915988,0.984171059787738,0.206362374000713,0.978475636179455,0.235321689334039,0.971917538955324,0.264073533162589,0.964502550065591,0.292592556406465,0.956237206939538,0.949466760692359,0.0500770736822811,0.000456165625360016,0,0,0,0,0,0,0,0,0,0,0,0.00472589792060491,2.23341111559779e-05
"6",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356248910933931,0.99936523210215,0.0712045551123253,0.997461734269168,0.106693822399725,0.99429192305969,0.142047638060409,0.989859822662512,0.17722111915988,0.984171059787738,0.212169611704824,0.977232856523472,0.246848747332949,0.969054021167114,0.28121449964021,0.959644937042918,0.315223240073909,0.949017549319983,0.348831793320697,0.937185349847439,0.937038157274681,0.0622490839356941,0.000712758789625025,0,0,0,0,0,0,0,0,0,0,0,0.0056710775047259,3.21611200646081e-05
"7",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415591967437252,0.999136043372481,0.0830465828005281,0.996545666332033,0.124390471566124,0.992233344825479,0.165519424387101,0.98620653017031,0.206362374000713,0.978475636179455,0.246848747332949,0.969054021167114,0.286908587442677,0.957957964866751,0.32647267440118,0.945206640301125,0.365472644898177,0.930822080652973,0.403841110367701,0.914829141193579,0.924691436420696,0.0742821909222441,0.00102637265706004,0,0,0,0,0,0,0,0,0,0,0,0.00661625708884688,4.37748578657166e-05
"8",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474920366630686,0.998871616602251,0.0948768948747455,0.995489012907187,0.142047638060409,0.989859822662512,0.188897812853119,0.981996749637853,0.235321689334039,0.971917538955324,0.28121449964021,0.959644937042918,0.32647267440118,0.945206640301125,0.370994076470924,0.928635232598616,0.414678231427562,0.909968111738048,0.457426554320698,0.889247405057948,0.912426598130404,0.0861763946419311,0.00139700722766505,0,0,0,0,0,0,0,0,0,0,0,0.00756143667296786,5.71753245593033e-05
"9",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534232016089934,0.998571961117397,0.106693822399725,0.99429192305969,0.159659717336617,0.987172109948408,0.212169611704824,0.977232856523472,0.264073533162589,0.964502550065591,0.315223240073909,0.949017549319983,0.365472644898177,0.930822080652973,0.414678231427562,0.909968111738048,0.462699464680451,0.886515203132143,0.509399192280294,0.860530338166054,0.900243642403805,0.0979316950947552,0.00182466250144006,0,0,0,0,0,0,0,0,0,0,0,0.00850661625708885,7.23625201453683e-05
"10",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593524823981433,0.998237087486324,0.118495698328412,0.992954565666356,0.17722111915988,0.984171059787738,0.235321689334039,0.971917538955324,0.292592556406465,0.956237206939538,0.348831793320697,0.937185349847439,0.403841110367701,0.914829141193579,0.457426554320698,0.889247405057948,0.509399192280294,0.860530338166054,0.559575777818836,0.828779191871059,0.888142569240898,0.109548092280716,0.00230933847838508,0,0,0,0,0,0,0,0,0,0,0,0.00945179584120983,8.93364446239114e-05
