O3_BA,O3_Comp,O3_ERA,O3_Flora,O3_Pance,O3_Nav,O3_Univalle,Date,date
13.018372272083333,17.807688054166665,14.430071939458331,8.929593036458334,16.552117300708332,,20.67604597866666,2018-01-01,2018-01-01
19.561890419958335,24.862099249958337,18.56380976425,14.269038451458334,33.32575782729166,,30.251407825375,2018-01-02,2018-01-02
22.722070454999997,29.391472648666664,24.32096133458333,22.80299591216667,34.205311298375,,34.36144021437501,2018-01-03,2018-01-03
17.722142345173914,26.49286985654167,22.55531496279167,18.58751520066667,33.16472433816667,,33.893870894541664,2018-01-04,2018-01-04
15.073388465083335,25.061551894249998,20.618008528500003,21.869492136208336,22.242026461000002,,26.619571331999996,2018-01-05,2018-01-05
17.92458038325,32.14130338666667,24.007886075041668,21.779574960208336,27.886002211047618,,34.27806246354166,2018-01-06,2018-01-06
19.310122327583333,35.33826771870833,27.575963116708333,21.516362861875,33.18050426952174,,39.46710096975,2018-01-07,2018-01-07
18.803316424374998,28.354155406458332,31.832642243333332,23.572196484541678,22.941958820958334,,26.696409646708336,2018-01-08,2018-01-08
13.099297730166667,23.564022196708336,14.027079503399998,9.534490404624998,23.380100698600003,,20.2844620063913,2018-01-09,2018-01-09
17.847742068875004,31.706431225250004,17.177450391416667,23.90734232354167,27.22763179473913,,31.230687618999998,2018-01-10,2018-01-10
19.27333802770833,34.018120084625004,22.104911653583333,27.7966689125,35.44780318420833,,40.511775070625006,2018-01-11,2018-01-11
12.811562766166666,24.864551536208328,9.51241982475,10.897144339791666,27.930727248875005,,27.14272581133332,2018-01-12,2018-01-12
16.272556625083332,29.115181689541668,13.405833557875,13.655149366208336,28.574043773958326,,30.36584786870834,2018-01-13,2018-01-13
13.949423761250001,26.09886913787499,11.647544048416664,9.536125262249998,26.31875750508334,,30.098548629333333,2018-01-14,2018-01-14
13.870950589833333,26.792866254041666,10.707500841083332,13.553437859642857,27.06507006945833,,32.30887630741666,2018-01-15,2018-01-15
13.132812314,25.386888587374997,10.148379490041666,1.7460280781666668,27.713291168,,30.709167994750008,2018-01-16,2018-01-16
14.487291961250001,23.001631129791672,12.187047105416665,18.639246771,24.298890754,,28.106474455083333,2018-01-17,2018-01-17
14.574608227545452,26.382516959291667,10.855455466958334,12.037457621333337,30.315167278999994,,33.062545728875,2018-01-18,2018-01-18
19.977961718333336,30.665026838291666,21.250698477,23.443042724125004,30.358491009416664,,36.251335771250005,2018-01-19,2018-01-19
15.715070132458331,31.577277463166666,18.35209568466667,24.249027593333334,29.903183125791667,,38.875282461666664,2018-01-20,2018-01-20
21.29892678125,30.090374337041666,20.17904922170833,26.106225997750006,26.537011015624998,,34.846992962958325,2018-01-21,2018-01-21
13.769589408249997,20.143082351708333,10.935563497083335,11.589506597208333,26.044101403416672,,32.26718743575,2018-01-22,2018-01-22
14.757221192,24.737850061000007,13.681307090375,14.0810298095,27.069157213583335,,35.52709378949999,2018-01-23,2018-01-23
23.478192163874997,36.77612510804167,25.702416132541675,30.94131780025,29.180576000416664,,39.834943962416666,2018-01-24,2018-01-24
19.84145109608333,32.093892513250005,18.84745758375,28.024731571666667,26.62628846573913,,32.01705419704347,2018-01-25,2018-01-25
18.347562669545454,31.034504689583333,18.390514842208336,21.393748530375003,29.661224177041664,,35.80174989270834,2018-01-26,2018-01-26
21.804915255583328,36.277493496958336,25.84546618725,33.194969207999996,34.00013665,,50.36996731454169,2018-01-27,2018-01-27
20.42346045545833,28.310831676333333,18.42811656995833,26.010586819916657,20.800295166416667,,31.045131263791664,2018-01-28,2018-01-28
21.119909857541664,34.63119174229167,19.387778070041666,27.50893395125,25.52094692279167,,31.490630001416665,2018-01-29,2018-01-29
11.679423774041668,17.77662575608333,8.117068734416666,17.732377976173915,17.353197598749997,,22.985282551625005,2018-01-30,2018-01-30
27.437817636874996,37.551865112625,28.37622598733333,40.716949722375,28.716276398458337,,37.895185239875,2018-01-31,2018-01-31
22.707356733958335,24.10270782516666,20.39812016075,29.096380827541665,24.61033115620833,,32.294980017833325,2018-02-01,2018-02-01
19.99676258175,29.111094546375,13.894656026166667,19.287234316041665,21.789384106083336,,34.1933768368,2018-02-02,2018-02-02
18.92347846941667,26.726654515125006,11.600950601541667,20.44716589291667,21.447698837,,,2018-02-03,2018-02-03
22.47030235983333,28.35824255066667,20.74389257516667,22.194828829166664,34.79794723270833,,,2018-02-04,2018-02-04
18.05618643241667,27.88168151645833,11.369618230250005,16.445851546083333,24.5964348645,,31.875802488466665,2018-02-05,2018-02-05
22.625613845749996,30.456582474624994,15.167392785249994,21.485300564875,31.41624397420833,,34.47015825512499,2018-02-06,2018-02-06
21.647968911583337,14.349691435444445,12.585952396833333,19.78913564875,26.223935756583334,,29.83259991878262,2018-02-07,2018-02-07
20.516647347791665,,11.339373361791667,14.846960666541664,28.819272437374995,,32.491162945791665,2018-02-08,2018-02-08
22.2733020015,,15.283467685375001,18.422394568208336,26.65226848575,,35.12818849749999,2018-02-09,2018-02-09
24.916938065130438,,15.712617845625003,25.00760158891666,25.664814405583332,,30.33723785783333,2018-02-10,2018-02-10
24.714962052875,,16.97554545941666,16.796528534375003,17.31477844129167,,18.012862700000003,2018-02-11,2018-02-11
25.725552924782605,,18.576071196124996,27.094497508416666,31.859290423666675,,59.297691934142854,2018-02-12,2018-02-12
23.152855471791664,,18.740374401041667,22.140878523125,24.591530292208333,,32.004792764041675,2018-02-13,2018-02-13
22.446596923374997,,15.999535381416669,23.454486725874997,43.89494969915001,,43.03844772241667,2018-02-14,2018-02-14
23.250129507291664,,17.471724785958333,26.92038515791667,35.639898973875006,,38.82378444620833,2018-02-15,2018-02-15
22.31907801833334,,15.014533585333334,24.637306308791665,30.475383338083336,,31.334501087875,2018-02-16,2018-02-16
16.142585434124996,,8.63695349875,15.140417632791667,24.517961693125002,,10.00889639890909,2018-02-17,2018-02-17
21.607097467666666,,15.332513419124998,20.885307769375,31.71705779995833,,,2018-02-18,2018-02-18
18.481249447583327,,10.042931164625,14.423904067954549,31.009164394791668,,,2018-02-19,2018-02-19
21.301379067625,,15.736429903956525,17.895152943458335,30.812981463749992,,,2018-02-20,2018-02-20
22.19319397083333,,16.881541137458335,18.745278974375,27.55687792873912,,,2018-02-21,2018-02-21
18.67661494954167,,11.645091760708334,14.175851559291663,23.967014630875,,25.044712860699995,2018-02-22,2018-02-22
22.88146908458334,,16.391083812708334,21.13625843508333,26.975970321958332,,28.314101394,2018-02-23,2018-02-23
23.536229613166668,,17.127587229499998,26.841094558041664,25.412228883374997,,28.799654143374998,2018-02-24,2018-02-24
20.080957756083333,,14.452959948416668,16.92077772420833,29.246787738041657,,29.70046076395833,2018-02-25,2018-02-25
20.02373773483333,,12.970494293952383,15.209899087999995,32.573723259375,,37.45132136608696,2018-02-26,2018-02-26
23.48391416616666,36.61754390708334,20.953971795583335,23.24000049713043,38.454306595958336,,36.79165626183334,2018-02-27,2018-02-27
25.86017990770834,30.130428355124995,20.25507010708333,26.82556340670834,35.59902753591667,,40.336845291625,2018-02-28,2018-02-28
23.74712626404167,27.45661850045833,19.2218400085,21.533528868,40.795422894,,36.67231164174999,2018-03-01,2018-03-01
16.535768723708333,20.499481340916667,10.517857341583333,11.645909190500005,24.364285064874995,,22.9190708125,2018-03-02,2018-03-02
27.206485264916665,28.8397081575,25.12694620554167,23.773283987083342,44.37412650933334,,44.920168997833336,2018-03-03,2018-03-03
28.694205817833332,32.732304463750005,24.17218927954167,21.491839995916667,37.48032231786956,,43.06133573733334,2018-03-04,2018-03-04
21.91036358066667,28.965592204958337,16.915055722125,18.894868457874995,33.75163827125,,40.45553596613333,2018-03-05,2018-03-05
22.981195407458333,27.762336899624998,19.110669682416663,18.325120532249997,36.571767890749996,,55.148422970714286,2018-03-06,2018-03-06
28.819272436250003,34.587868010083334,22.234065414499998,25.658274976541673,40.45782476129166,,41.59813804991667,2018-03-07,2018-03-07
21.86622242158333,26.131566294249996,15.731418708833333,16.61505932441667,36.739340810875,,36.028177689833335,2018-03-08,2018-03-08
28.794749569875005,35.992210816375,21.541703158166666,20.864872048,48.76862414154167,,50.842441199666666,2018-03-09,2018-03-09
35.54017265095833,39.861919115166664,28.419549716333336,27.92582267408333,43.99483950920833,,58.7690490105,2018-03-10,2018-03-10
33.497417890875,37.29927959145834,26.255815482833338,29.056326811041668,41.84581899791667,,51.156333887500004,2018-03-11,2018-03-11
26.427475546791666,33.750003412374994,21.0071046715,20.527273922041665,40.602189816999996,,44.90541973465217,2018-03-12,2018-03-12
23.471155167347824,28.863413596250002,15.75839386308333,16.069016835625,34.49631597629166,,37.596823702916666,2018-03-13,2018-03-13
27.495855087166674,31.216116063956516,19.967335143333333,19.14908883791666,43.73080998233332,,48.687698686249995,2018-03-14,2018-03-14
23.256668938416666,32.77481076479167,14.095743530333335,14.427471030818184,40.90741064583334,,41.49023743666666,2018-03-15,2018-03-15
34.26253131904166,43.712826543874996,27.99448669854166,32.51650324133333,49.64245561029167,,52.050743243478244,2018-03-16,2018-03-16
25.97707223666666,40.67526084475,16.997616038375003,19.662434172791666,53.255491240583346,,53.60453337333334,2018-03-17,2018-03-17
28.139171612749994,36.839884562291665,21.05206326083333,20.403842162041666,6.3342563565,,55.24102598083334,2018-03-18,2018-03-18
26.850903703875,35.35379886708333,19.597039862416665,21.138710721458335,12.3163643538,,41.52783916458333,2018-03-19,2018-03-19
17.579625397833336,27.261252998999993,10.665811968083332,12.661155853625003,32.47072722329167,,35.51238006875,2018-03-20,2018-03-20
25.811134174458342,36.582394465499995,20.482315334166667,21.698649501791667,44.049607243749996,,44.82616467458334,2018-03-21,2018-03-21
16.59217131566667,23.117706029958338,10.37480728775,8.34513139075,34.20122415325,,29.55741071,2018-03-22,2018-03-22
