O3_BA,O3_Comp,O3_ERA,O3_Flora,O3_Pance,Date,date
13.018372272083333,17.807688054166665,14.430071939458331,8.929593036458334,16.552117300708332,2018-01-01,2018-01-01
19.561890419958335,24.862099249958337,18.56380976425,14.269038451458334,33.32575782729166,2018-01-02,2018-01-02
22.722070454999997,29.391472648666664,24.32096133458333,22.80299591216667,34.205311298375,2018-01-03,2018-01-03
17.722142345173914,26.49286985654167,22.55531496279167,18.58751520066667,33.16472433816667,2018-01-04,2018-01-04
15.073388465083335,25.061551894249998,20.618008528500003,21.869492136208336,22.242026461000002,2018-01-05,2018-01-05
17.92458038325,32.14130338666667,24.007886075041668,21.779574960208336,27.886002211047618,2018-01-06,2018-01-06
19.310122327583333,35.33826771870833,27.575963116708333,21.516362861875,33.18050426952174,2018-01-07,2018-01-07
18.803316424374998,28.354155406458332,31.832642243333332,23.572196484541678,22.941958820958334,2018-01-08,2018-01-08
13.099297730166667,23.564022196708336,14.027079503399998,9.534490404624998,23.380100698600003,2018-01-09,2018-01-09
17.847742068875004,31.706431225250004,17.177450391416667,23.90734232354167,27.22763179473913,2018-01-10,2018-01-10
19.27333802770833,34.018120084625004,22.104911653583333,27.7966689125,35.44780318420833,2018-01-11,2018-01-11
12.811562766166666,24.864551536208328,9.51241982475,10.897144339791666,27.930727248875005,2018-01-12,2018-01-12
16.272556625083332,29.115181689541668,13.405833557875,13.655149366208336,28.574043773958326,2018-01-13,2018-01-13
13.949423761250001,26.09886913787499,11.647544048416664,9.536125262249998,26.31875750508334,2018-01-14,2018-01-14
13.870950589833333,26.792866254041666,10.707500841083332,13.553437859642857,27.06507006945833,2018-01-15,2018-01-15
13.132812314,25.386888587374997,10.148379490041666,1.7460280781666668,27.713291168,2018-01-16,2018-01-16
14.487291961250001,23.001631129791672,12.187047105416665,18.639246771,24.298890754,2018-01-17,2018-01-17
14.574608227545452,26.382516959291667,10.855455466958334,12.037457621333337,30.315167278999994,2018-01-18,2018-01-18
19.977961718333336,30.665026838291666,21.250698477,23.443042724125004,30.358491009416664,2018-01-19,2018-01-19
15.715070132458331,31.577277463166666,18.35209568466667,24.249027593333334,29.903183125791667,2018-01-20,2018-01-20
21.29892678125,30.090374337041666,20.17904922170833,26.106225997750006,26.537011015624998,2018-01-21,2018-01-21
13.769589408249997,20.143082351708333,10.935563497083335,11.589506597208333,26.044101403416672,2018-01-22,2018-01-22
14.757221192,24.737850061000007,13.681307090375,14.0810298095,27.069157213583335,2018-01-23,2018-01-23
23.478192163874997,36.77612510804167,25.702416132541675,30.94131780025,29.180576000416664,2018-01-24,2018-01-24
19.84145109608333,32.093892513250005,18.84745758375,28.024731571666667,26.62628846573913,2018-01-25,2018-01-25
18.347562669545454,31.034504689583333,18.390514842208336,21.393748530375003,29.661224177041664,2018-01-26,2018-01-26
21.804915255583328,36.277493496958336,25.84546618725,33.194969207999996,34.00013665,2018-01-27,2018-01-27
20.42346045545833,28.310831676333333,18.42811656995833,26.010586819916657,20.800295166416667,2018-01-28,2018-01-28
21.119909857541664,34.63119174229167,19.387778070041666,27.50893395125,25.52094692279167,2018-01-29,2018-01-29
11.679423774041668,17.77662575608333,8.117068734416666,17.732377976173915,17.353197598749997,2018-01-30,2018-01-30
27.437817636874996,37.551865112625,28.37622598733333,40.716949722375,28.716276398458337,2018-01-31,2018-01-31
22.707356733958335,24.10270782516666,20.39812016075,29.096380827541665,24.61033115620833,2018-02-01,2018-02-01
19.99676258175,29.111094546375,13.894656026166667,19.287234316041665,21.789384106083336,2018-02-02,2018-02-02
